"courseid";"userid";"finalgrade";"rawgrademax";"rawgrademin";"rawgrade";"timemodified"
"303";"822dd9d21b51c58e51583c8091619bad4fe8bdd654cf8fce1beab185";"6,50000";"100,00000";"0,00000";\N;"1636023935"
"303";"4824807f83a85a61bab93fc2c9800af35f595abe3d275da9805770a1";"9,00000";"100,00000";"0,00000";\N;"1636023976"
"303";"01780818e34395dc82e5775615330b1c7b9785d8ff1858beeb9a7d08";"6,50000";"100,00000";"0,00000";\N;"1636023758"
"303";"afefd1495597e9b4c15d328a1f83d2e8b1025b11032365c04bcabeec";"6,50000";"100,00000";"0,00000";\N;"1636023908"
"303";"4663491e2d2c23f0cb7bb2e821c1c5d343bc9cfba95d2aeea23c8762";"9,00000";"100,00000";"0,00000";\N;"1636023976"
"303";"a9123538e773f5697be6c83a15c5d954b4627511e673b83f3c78728e";"9,00000";"100,00000";"0,00000";\N;"1636023976"
"303";"eb917888f96d8da06841d37fac501b3a5ec66b75d99e8418e5650021";"6,50000";"100,00000";"0,00000";\N;"1636023758"
"303";"e89fff602128b1fba77823759076b5996a8875969aece98a1e8be649";"6,50000";"100,00000";"0,00000";\N;"1636023908"
"303";"f98abdd681d18b5e243996612bff1cd0df1deab7b3ba61f79785a2bf";"6,50000";"100,00000";"0,00000";\N;"1636023908"
"303";"a3c916d9ad2183665145fb6dde10cd85a8524e06ed2c1090abd7ccd4";"6,50000";"100,00000";"0,00000";\N;"1636023758"
"303";"37a44e5443622de9b438211b83f8e43e948f1a98c72d1f0e0ab06c40";"8,00000";"100,00000";"0,00000";\N;"1636023957"
"303";"61b3f71e824d78e1f95512d737c3a24781491601649b4a6c3d57225f";"9,00000";"100,00000";"0,00000";\N;"1636023977"
"303";"e070fca4dd1d88d8cda0175899b98e2c2fe65dbe8b4b53048252cdd3";"8,00000";"100,00000";"0,00000";\N;"1636023957"
"303";"0d78c214866617365ad56a1de272142936372fdc04ebd4739c55b699";"8,00000";"100,00000";"0,00000";\N;"1636023957"
"303";"9363597c1f281277f8dcd17a07f19ce0a621de66d086fdd1ed2884ef";"6,50000";"100,00000";"0,00000";\N;"1636023935"
"303";"1841b181c1934e0b15c46f9918318950775441c8a48d7187eb722035";"8,00000";"100,00000";"0,00000";\N;"1636023957"
"303";"c77ed30e330376ab60a154da8f4ddacdc49ca2cbb0aced80b2ab8616";"6,50000";"100,00000";"0,00000";\N;"1636023758"
"303";"0687e10b6524746d1bd8aca0554cb0d5c7c1bdeb10cba790171a7b34";"6,50000";"100,00000";"0,00000";\N;"1636023908"
"303";"4803db3c5c8b17c74add03dd24776a0098bd0c546ee4bc215899c863";"6,50000";"100,00000";"0,00000";\N;"1636023935"
"303";"2438c03cd1d254ae5f532416ba227a23034f28c0cb2de10b308681da";"6,50000";"100,00000";"0,00000";\N;"1636023758"
"303";"37f3c6cb807448f5ec4dc1fe582e3c72291164c5489150ae45f3a449";"6,50000";"100,00000";"0,00000";\N;"1636023935"
"303";"9c270f719187429a68b6b00959a4953793fb79cbc438e5464d49ae84";\N;"100,00000";"0,00000";\N;\N
"303";"630909f1f5bbf4ae09b97c58c1f3a1e43ee283c9a6f8c169f6fc7791";"6,50000";"100,00000";"0,00000";\N;"1636023935"
"303";"4c4fa60eced7ba5e06d35890ceb17f37a84169e52f6556f9e82f0d51";"8,00000";"100,00000";"0,00000";\N;"1636023957"
"303";"29eb6b2d6a6f0bdb5f47b4a7e599af74db4411bcf6c94d8e19a56b82";\N;"100,00000";"0,00000";\N;\N
"305";"95bc904106014df392c0289e2e1842c3b034641158a47be1dca7a2d8";"50,00000";"100,00000";"0,00000";\N;"1647197119"
"305";"efe04a9ca1d032e76f634e4cc45da55afd402535045029582eb10d51";"50,00000";"100,00000";"0,00000";\N;"1647197119"
"305";"ea2197d9095564fdf085f65826e0053196c5e0854a9900c72127397c";"50,00000";"100,00000";"0,00000";\N;"1647197120"
"305";"4fddcc6f03dbf6ccc70cb630571c866feacb9600f977965b5969d9ff";"50,00000";"100,00000";"0,00000";\N;"1647197120"
"305";"2e42d36ebcdf5bb9db1f1e494b33dc9a51f9d71758bd5e3e751e426c";"50,00000";"100,00000";"0,00000";\N;"1647197120"
"305";"d0c5d581ec5e1d033415f88344296675a663481eb58c204369565ddf";"60,00000";"100,00000";"0,00000";\N;"1647197176"
"305";"47e57fa7b428ecfa53f57b94aa3e97646c543cc9ebebd24301a65e16";"60,00000";"100,00000";"0,00000";\N;"1647197176"
"305";"75e6a2186c528df9e8bdb7035f9c55ca173ce9ed44d41963fa2a22b7";"60,00000";"100,00000";"0,00000";\N;"1647197176"
"305";"c12cfa54dad9275cbb07709e4c1a5fe90e362578598ae185a36e4e05";"60,00000";"100,00000";"0,00000";\N;"1647197176"
"305";"c87f73c8ee85ea6b604debff2975a7a1b330502a64e3e6bb072af7c0";"60,00000";"100,00000";"0,00000";\N;"1647197177"
"305";"fde59452f3e91e80862d9ec0726a76e3b621730bd05ffbc73a724828";"90,00000";"100,00000";"0,00000";\N;"1647197203"
"305";"29eb6b2d6a6f0bdb5f47b4a7e599af74db4411bcf6c94d8e19a56b82";"90,00000";"100,00000";"0,00000";\N;"1647197203"
"305";"cb8a368ee1d01ef57f890400425e2f555751c5de9848efe8cabc36fe";"90,00000";"100,00000";"0,00000";\N;"1647197204"
"305";"c9e33cb7343dc33ff1ae21aacdad5be41643fec5115198db68265f86";"90,00000";"100,00000";"0,00000";\N;"1647197204"
"305";"d10bbc7af04335ea63c5b03516562235d4a31d98558b3082e805ac57";"90,00000";"100,00000";"0,00000";\N;"1647197204"
"305";"7c8736b067303479dc4cd524f21d71e7b4f11913054763304d199bc0";"65,00000";"100,00000";"0,00000";\N;"1647197246"
"305";"f415669a687305a0c2cec2c30b488f31fa590ff61be1e86cc69a276a";"65,00000";"100,00000";"0,00000";\N;"1647197246"
"305";"676e3d01b6dae61f7d1129394356ec0172edd603fb6a8c252f9d4ad7";"65,00000";"100,00000";"0,00000";\N;"1647197246"
"305";"2bb8907c59bb65b16ded05180e822f90d2f3bee0be3942e9e511f3bd";"65,00000";"100,00000";"0,00000";\N;"1647197246"
"305";"9072ffd8ad0419bb2fa552d92873d1b288bf0bc5f77c7fac7e052bf5";"65,00000";"100,00000";"0,00000";\N;"1647197246"
"759";"cb719a7819e31ee306ac089accb13e1d01c7bee87cc1ec1060783311";\N;"100,00000";"0,00000";\N;\N
"759";"4ccc91a736c6f7cbe01609f433f9de619b272de0abe5379e2f07cf10";\N;"100,00000";"0,00000";\N;\N
"759";"0d78c214866617365ad56a1de272142936372fdc04ebd4739c55b699";\N;"100,00000";"0,00000";\N;\N
"759";"8f236019978fa75e5843caf00a40ae705a52e3fce075737137da7664";\N;"100,00000";"0,00000";\N;\N
"759";"a9123538e773f5697be6c83a15c5d954b4627511e673b83f3c78728e";\N;"100,00000";"0,00000";\N;\N
"759";"1249e00924df1d62183256b816e497429e6b8a113709cc2478f75ea0";\N;"100,00000";"0,00000";\N;\N
"759";"532b37b5196f031cf663c97e30abc5635ff44d04872895cfe77ed2a4";\N;"100,00000";"0,00000";\N;\N
"759";"a53f86d96805970c7a67f403b0e28625fb58315156848864793aa76e";\N;"100,00000";"0,00000";\N;\N
"759";"0670b0ca3949f3cd53c6fd3461a42b94dcd44198f09c2b09f37be793";\N;"100,00000";"0,00000";\N;\N
"759";"3ee1de683a40806ac75bcb7400346b067a574074f426b6b3a428a918";\N;"100,00000";"0,00000";\N;\N
"759";"c9e33cb7343dc33ff1ae21aacdad5be41643fec5115198db68265f86";\N;"100,00000";"0,00000";\N;\N
"759";"47e57fa7b428ecfa53f57b94aa3e97646c543cc9ebebd24301a65e16";\N;"100,00000";"0,00000";\N;\N
"759";"095c07329c8ed8f8162b2e25876750a22e74d768bd8c4e0cc2727130";\N;"100,00000";"0,00000";\N;\N
"759";"5f0b7fe0ad2863b961c522e582a34d22186b07fa841e28b8bd505db8";\N;"100,00000";"0,00000";\N;\N
"759";"a16cbbe24212a9ddf415a72f7c1b470b37768b8c575dc7ca21550016";\N;"100,00000";"0,00000";\N;\N
"759";"f65e17b4c42d611a780f32bcdf89a4cf42fd6047d34fd2727420f658";\N;"100,00000";"0,00000";\N;\N
"759";"37f3c6cb807448f5ec4dc1fe582e3c72291164c5489150ae45f3a449";\N;"100,00000";"0,00000";\N;\N
"759";"e070fca4dd1d88d8cda0175899b98e2c2fe65dbe8b4b53048252cdd3";\N;"100,00000";"0,00000";\N;\N
"759";"ab135e064c5b2c7a63c16aaa0ea16626ba1a416d5d60504cfea5828a";\N;"100,00000";"0,00000";\N;\N
"759";"c159fbe21236d1dc18a9f8745bfb7dbb68118b571917d9baad294de6";\N;"100,00000";"0,00000";\N;\N
"759";"75e6a2186c528df9e8bdb7035f9c55ca173ce9ed44d41963fa2a22b7";\N;"100,00000";"0,00000";\N;\N
